,Player,Nation,Pos,Squad,Comp,Age
2222,Marcus Rashford,ENG,3,Manchester Utd,Premier League,24
2223,Milot Rashica,KVX,3,Norwich City,Premier League,25
2224,Giacomo Raspadori,ITA,2,Sassuolo,Serie A,22
2225,Raúl,ESP,3,Betis,La Liga,21
2226,David Raum,GER,1,Hoffenheim,Bundesliga,24
2227,Nicola Ravaglia,ITA,4,Sampdoria,Serie A,33
2228,David Raya,ESP,4,Brentford,Premier League,26
2229,Ante Rebi?,CRO,3,Milan,Serie A,28
2230,Arkadiusz Reca,POL,1,Spezia,Serie A,26
2231,Lluís Recasens,ESP,1,Espanyol,La Liga,20
2232,Nathan Redmond,ENG,2,Southampton,Premier League,28
2233,Sergio Reguilón,ESP,1,Tottenham,Premier League,25
2234,Manolo Reina,ESP,4,Mallorca,La Liga,37
2235,Pepe Reina,ESP,4,Lazio,Serie A,39
2236,Jeff Reine-Adélaïde,FRA,2,Lyon,Ligue 1,24
2237,Reinier,BRA,3,Dortmund,Bundesliga,20
2238,Karim Rekik,NED,1,Sevilla,La Liga,27
2239,Álex Remiro,ESP,4,Real Sociedad,La Liga,27
2240,Panagiotis Retsos,GRE,1,Leverkusen,Bundesliga,23
2241,Panagiotis Retsos,GRE,1,Hellas Verona,Serie A,23
2242,Marco Reus,GER,2,Dortmund,Bundesliga,32
2243,Elvis Rexhbeçaj,GER,2,Bochum,Bundesliga,24
2244,Gio Reyna,USA,2,Dortmund,Bundesliga,19
2245,Bryan Reynolds,USA,1,Roma,Serie A,20
2246,Nico Ribaudo,ESP,2,Espanyol,La Liga,21
2247,Tiago Ribeiro,POR,3,Monaco,Ligue 1,20
2248,Franck Ribéry,FRA,2,Salernitana,Serie A,39
2249,Samuele Ricci,ITA,2,Empoli,Serie A,20
2250,Samuele Ricci,ITA,2,Torino,Serie A,20
2251,Declan Rice,ENG,2,West Ham,Premier League,23
2252,Chris Richards,USA,1,Hoffenheim,Bundesliga,22
2253,Chris Richards,USA,1,Bayern Munich,Bundesliga,22
2254,Omar Richards,ENG,1,Bayern Munich,Bundesliga,24
2255,Taylor Richards,ENG,2,Brighton,Premier League,21
2256,Richarlison,BRA,3,Everton,Premier League,25
2257,Marco Richter,GER,3,Hertha BSC,Bundesliga,24
2258,Diego Rico,ESP,1,Real Sociedad,La Liga,29
2259,Sergio Rico,ESP,4,Paris S-G,Ligue 1,28
2260,Sergio Rico,ESP,4,Mallorca,La Liga,28
2261,Jaïro Riedewald,NED,2,Crystal Palace,Premier League,25
2262,Manuel Riemann,GER,4,Bochum,Bundesliga,33
2263,Tomás Rincón,VEN,2,Torino,Serie A,34
2264,Tomás Rincón,VEN,2,Sampdoria,Serie A,34
2265,Luis Rioja,ESP,3,Alavés,La Liga,28
2266,Renaud Ripart,FRA,3,Troyes,Ligue 1,29
2267,Mihailo Risti?,SRB,1,Montpellier,Ligue 1,26
2268,Matt Ritchie,SCO,1,Newcastle Utd,Premier League,32
2269,Maxence Rivera,FRA,3,Saint-Étienne,Ligue 1,19
2270,Rober,ESP,1,Levante,La Liga,27
2271,Sergi Roberto,ESP,2,Barcelona,La Liga,30
2272,Connor Roberts,WAL,1,Burnley,Premier League,26
2273,Patrick Roberts,ENG,1,Troyes,Ligue 1,25
2274,Tyler Roberts,WAL,2,Leeds United,Premier League,23
2275,Andrew Robertson,SCO,1,Liverpool,Premier League,28
2276,Marc Roca,ESP,2,Bayern Munich,Bundesliga,25
2277,Rubén Rochina,ESP,2,Granada,La Liga,31
2278,Cimo Röcker,GER,1,Hertha BSC,Bundesliga,28
2279,Enzo Roco,CHI,1,Elche,La Liga,29
2280,Stian Rode Gregersen,NOR,1,Bordeaux,Ligue 1,27
2281,Sebastian Rode,GER,2,Eint Frankfurt,Bundesliga,31
2282,Joe Rodon,WAL,1,Tottenham,Premier League,24
2283,Rodri,ESP,2,Manchester City,Premier League,25
2284,Rodrigo,ESP,2,Leeds United,Premier League,31
2285,Rodrigo,ESP,3,Betis,La Liga,22
2286,Gerson Rodrigues,LUX,3,Troyes,Ligue 1,26
2287,Kévin Rodrigues,POR,1,Rayo Vallecano,La Liga,28
2288,Óscar Rodríguez Arnaiz,ESP,3,Sevilla,La Liga,23
2289,Óscar Rodríguez Arnaiz,ESP,2,Getafe,La Liga,23
2290,Ángel Rodríguez,ESP,3,Mallorca,La Liga,35
2291,Dani Rodríguez,ESP,2,Mallorca,La Liga,33
2292,Guido Rodríguez,ARG,2,Betis,La Liga,28
2293,Jay Rodriguez,ENG,3,Burnley,Premier League,32
2294,Ricardo Rodríguez,SUI,1,Torino,Serie A,29
2295,Rodrygo,BRA,3,Real Madrid,La Liga,21
2296,Mads Roerslev,DEN,1,Brentford,Premier League,22
2297,Marko Rog,CRO,2,Cagliari,Serie A,26
2298,Rogério,BRA,1,Sassuolo,Serie A,24
2299,Alessio Romagnoli,ITA,1,Milan,Serie A,27
2300,Simone Romagnoli,ITA,1,Empoli,Serie A,32
2301,Leonardo Román,ESP,4,Mallorca,La Liga,21
2302,Cristian Romero,ARG,1,Tottenham,Premier League,24
2303,Iván Romero,ESP,3,Sevilla,La Liga,21
2304,Luka Romero,ARG,3,Lazio,Serie A,17
2305,Sergio Romero,ARG,4,Venezia,Serie A,35
2306,Oriol Romeu,ESP,2,Southampton,Premier League,30
2307,Cristiano Ronaldo,POR,3,Manchester Utd,Premier League,37
2308,Cristiano Ronaldo,POR,3,Juventus,Serie A,37
2309,Salomón Rondón,VEN,3,Everton,Premier League,32
2310,Valentin Rongier,FRA,1,Marseille,Ligue 1,27
2311,Marten de Roon,NED,2,Atalanta,Serie A,31
2312,Unai Ropero,ESP,2,Alavés,La Liga,20
2313,Pablo Rosario,NED,2,Nice,Ligue 1,25
2314,Romario Rösch,GER,2,Mainz 05,Bundesliga,22
2315,Danny Rose,ENG,1,Watford,Premier League,31
2316,Francesco Rossi,ITA,4,Atalanta,Serie A,31
2317,Tom Rothe,GER,1,Dortmund,Bundesliga,17
2318,Jérôme Roussillon,FRA,1,Wolfsburg,Bundesliga,29
2319,Nicolò Rovella,ITA,2,Genoa,Serie A,20
2320,Jon Rowe,ENG,3,Norwich City,Premier League,19
2321,Amir Rrahmani,KVX,1,Napoli,Serie A,28
2322,Ruan,BRA,1,Sassuolo,Serie A,22
2323,Rubén,ESP,1,Espanyol,La Liga,21
2324,John Ruddy,ENG,4,Wolves,Premier League,35
2325,Antonio Rüdiger,GER,1,Chelsea,Premier League,29
2326,Sebastian Rudy,GER,2,Hoffenheim,Bundesliga,32
2327,Daniele Rugani,ITA,1,Juventus,Serie A,27
2328,Matteo Ruggeri,ITA,1,Salernitana,Serie A,19
2329,Mário Rui,POR,1,Napoli,Serie A,31
2330,Aitor Ruibal,ESP,3,Betis,La Liga,26
2331,Fabián Ruiz Peña,ESP,2,Napoli,Serie A,26
2332,Isma Ruiz,ESP,2,Granada,La Liga,21
2333,Víctor Ruiz,ESP,1,Betis,La Liga,33
2334,Gerónimo Rulli,ARG,4,Villarreal,La Liga,30
2335,Lukas Rupp,GER,2,Norwich City,Premier League,31
2336,Alessandro Russo,ITA,2,Salernitana,Serie A,18
2337,Franco Russo,ARG,1,Mallorca,La Liga,27
2338,Georginio Rutter,FRA,3,Hoffenheim,Bundesliga,20
2339,Mathew Ryan,AUS,4,Real Sociedad,La Liga,30
2340,Julian Ryerson,NOR,1,Union Berlin,Bundesliga,24
2341,Frederik Rønnow,DEN,4,Union Berlin,Bundesliga,29
2342,José Sá,POR,4,Wolves,Premier League,29
2343,Roli Pereira de Sa,FRA,2,Nantes,Ligue 1,25
2344,Youssouf Sabaly,SEN,1,Betis,La Liga,29
2345,Mathys Saban,FRA,3,Saint-Étienne,Ligue 1,20
2346,Stefano Sabelli,ITA,1,Genoa,Serie A,29
2347,Abdelhamid Sabiri,GER,2,Sampdoria,Serie A,25
2348,Marcel Sabitzer,AUT,2,RB Leipzig,Bundesliga,28
2349,Marcel Sabitzer,AUT,2,Bayern Munich,Bundesliga,28
2350,Falaye Sacko,MLI,1,Saint-Étienne,Ligue 1,27
2351,Alexis Saelemaekers,BEL,3,Milan,Serie A,22
2352,Rafiki Said Ahamada,FRA,2,Brest,Ligue 1,22
2353,Wesley Saïd,FRA,3,Lens,Ligue 1,27
2354,Allan Saint-Maximin,FRA,3,Newcastle Utd,Premier League,25
2355,Romain Saïss,MAR,1,Wolves,Premier League,32
2356,Bukayo Saka,ENG,3,Arsenal,Premier League,20
2357,Mamadou Sakho,FRA,1,Montpellier,Ligue 1,32
2358,Bakary Sako,MLI,3,Saint-Étienne,Ligue 1,34
2359,Jacopo Sala,ITA,2,Spezia,Serie A,30
2360,Mohamed Salah,EGY,3,Liverpool,Premier League,29
2361,Eddie Salcedo,ITA,2,Spezia,Serie A,20
2362,William Saliba,FRA,1,Marseille,Ligue 1,21
2363,Romain Salin,FRA,4,Rennes,Ligue 1,37
2364,Mohammed Salisu,GHA,1,Southampton,Premier League,23
2365,Roland Sallai,HUN,2,Freiburg,Bundesliga,25
2366,Yoann Salmier,GUF,1,Troyes,Ligue 1,29
2367,Salvi,ESP,2,Cádiz,La Liga,31
2368,Lazar Samardzic,GER,2,Udinese,Serie A,20
2369,Diadie Samassékou,MLI,2,Hoffenheim,Bundesliga,26
2370,Mama Samba Baldé,GNB,3,Troyes,Ligue 1,26
2371,Albert Sambi Lokonga,BEL,2,Arsenal,Premier League,22
2372,Junior Sambia,FRA,1,Montpellier,Ligue 1,25
2373,Luigi Samele,ITA,3,Sassuolo,Serie A,20
2374,Fede San Emeterio,ESP,2,Cádiz,La Liga,25
2375,Antonio Sanabria,PAR,3,Torino,Serie A,26
2376,Oihan Sancet,ESP,3,Athletic Club,La Liga,22
2377,Renato Sanches,POR,2,Lille,Ligue 1,24
2378,Alexis Sánchez,CHI,3,Inter,Serie A,33
2379,Antonio Sánchez,ESP,2,Mallorca,La Liga,25
2380,Davinson Sánchez,COL,1,Tottenham,Premier League,25
2381,Germán Sánchez,ESP,1,Granada,La Liga,35
2382,Juan Sánchez,ESP,2,Sevilla,La Liga,18
2383,Manuel Sánchez,ESP,1,Osasuna,La Liga,21
2384,Robert Sánchez,ESP,4,Brighton,Premier League,24
2385,Jadon Sancho,ENG,3,Manchester Utd,Premier League,22
2386,Philippe Sandler,NED,1,Troyes,Ligue 1,25
2387,Alex Sandro,BRA,1,Juventus,Serie A,31
2388,Leroy Sané,GER,3,Bayern Munich,Bundesliga,26
2389,Oier Sanjurjo,ESP,2,Osasuna,La Liga,36
2390,Mohamed Sankoh,NED,3,Stuttgart,Bundesliga,18
2391,Morgan Sanson,FRA,2,Aston Villa,Premier League,27
2392,Nicola Sansone,ITA,3,Bologna,Serie A,30
2393,Baptiste Santamaria,FRA,2,Freiburg,Bundesliga,27
2394,Baptiste Santamaria,FRA,2,Rennes,Ligue 1,27
2395,Federico Santander,PAR,3,Bologna,Serie A,30
2396,Jesús Santiago,ESP,2,Valencia,La Liga,18
2397,Samir Santos,BRA,1,Udinese,Serie A,27
2398,Samir Santos,BRA,1,Watford,Premier League,27
2399,Sergio Santos,ESP,1,Real Madrid,La Liga,21
2400,Alvaro Sanz,ESP,2,Barcelona,La Liga,21
2401,Riccardo Saponara,ITA,3,Fiorentina,Serie A,30
2402,Pablo Sarabia,ESP,3,Paris S-G,Ligue 1,30
2403,Marcelo Saracchi,URU,1,Levante,La Liga,24
2404,Josh Sargent,USA,3,Norwich City,Premier League,22
2405,Jeremy Sarmiento,ECU,3,Brighton,Premier League,19
2406,Bouna Sarr,SEN,1,Bayern Munich,Bundesliga,30
2407,Ismaila Sarr,SEN,3,Watford,Premier League,24
2408,Malang Sarr,FRA,1,Chelsea,Premier League,23
2409,Joan Sastre Vanrell,ESP,1,Mallorca,La Liga,25
2410,Giacomo Satalino,ITA,4,Sassuolo,Serie A,23
2411,Martin Satriano,ITA,3,Inter,Serie A,21
2412,Martin Satriano,ITA,3,Brest,Ligue 1,21
2413,Téji Savanier,FRA,2,Montpellier,Ligue 1,30
2414,Esteban Saveljich,MNE,1,Rayo Vallecano,La Liga,31
2415,Stefan Savi?,MNE,1,Atlético Madrid,La Liga,31
2416,Joseph Scally,USA,1,M'Gladbach,Bundesliga,19
2417,Giorgio Scalvini,ITA,1,Atalanta,Serie A,18
2418,Gianluca Scamacca,ITA,3,Sassuolo,Serie A,23
2419,Dane Scarlett,ENG,2,Tottenham,Premier League,18
2420,Kevin Schade,GER,3,Freiburg,Bundesliga,20
2421,András Schäfer,HUN,2,Union Berlin,Bundesliga,23
2422,Fabian Schär,SUI,1,Newcastle Utd,Premier League,30
2423,Louis Schaub,AUT,2,Köln,Bundesliga,27
2424,Andrea Schiavone,ITA,2,Salernitana,Serie A,29
2425,Patrik Schick,CZE,3,Leverkusen,Bundesliga,26
2426,Kingsley Schindler,GER,1,Köln,Bundesliga,28
2427,Xaver Schlager,AUT,2,Wolfsburg,Bundesliga,24
2428,Keven Schlotterbeck,GER,1,Freiburg,Bundesliga,25
2429,Nico Schlotterbeck,GER,1,Freiburg,Bundesliga,22
2430,Jeffrey Schlupp,GHA,2,Crystal Palace,Premier League,29
2431,Kasper Schmeichel,DEN,4,Leicester City,Premier League,35
2432,Jonathan Schmid,FRA,1,Freiburg,Bundesliga,31
2433,Benno Schmitz,GER,1,Köln,Bundesliga,27
2434,David Schnegg,AUT,1,Venezia,Serie A,23
2435,Morgan Schneiderlin,FRA,2,Nice,Ligue 1,32
2436,Alessandro Schöpf,AUT,2,Arminia,Bundesliga,28
2437,Jerdy Schouten,NED,2,Bologna,Serie A,25
2438,Nico Schulz,GER,1,Dortmund,Bundesliga,29
2439,Marvin Schwäbe,GER,4,Köln,Bundesliga,27
2440,Alexander Schwolow,GER,4,Hertha BSC,Bundesliga,29
2441,Valentino Scotta,ESP,1,Sevilla,La Liga,20
2442,Demba Seck,SEN,3,Torino,Serie A,21
2443,Aleksandar Sedlar,SRB,1,Mallorca,La Liga,30
2444,Paul Seguin,GER,2,Greuther Fürth,Bundesliga,27
2445,Alidu Seidu,CIV,1,Clermont Foot,Ligue 1,21
2446,Davie Selke,GER,3,Hertha BSC,Bundesliga,27
2447,Matz Sels,BEL,4,Strasbourg,Ligue 1,30
2448,Ken Sema,SWE,2,Watford,Premier League,28
2449,Nélson Semedo,POR,1,Wolves,Premier League,28
2450,Lion Semi?,GER,1,Dortmund,Bundesliga,18
2451,Adrian emper,CRO,4,Genoa,Serie A,24
2452,Stefano Sensi,ITA,2,Inter,Serie A,26
2453,Stefano Sensi,ITA,2,Sampdoria,Serie A,26
2454,Luigi Sepe,ITA,4,Salernitana,Serie A,31
2455,Suat Serdar,GER,2,Hertha BSC,Bundesliga,25
2456,Laurens Serpe,ITA,1,Genoa,Serie A,21
2457,Janni Serra,GER,3,Arminia,Bundesliga,24
2458,Javier Serrano,ESP,2,Atlético Madrid,La Liga,19
2459,Nicolás Serrano,ESP,2,Athletic Club,La Liga,19
2460,Zidan Sertdemir,DEN,2,Leverkusen,Bundesliga,17
2461,Ryan Sessegnon,ENG,1,Tottenham,Premier League,22
2462,Nils Seufert,GER,2,Greuther Fürth,Bundesliga,25
2463,Salva Sevilla,ESP,2,Mallorca,La Liga,38
2464,Stephan El Shaarawy,ITA,1,Roma,Serie A,29
2465,Jamie Shackleton,ENG,1,Leeds United,Premier League,22
2466,Xherdan Shaqiri,SUI,3,Lyon,Ligue 1,30
2467,Luke Shaw,ENG,1,Manchester Utd,Premier League,26
2468,Jonjo Shelvey,ENG,2,Newcastle Utd,Premier League,30
2469,Aimar Sher,SWE,2,Spezia,Serie A,19
2470,Eldor Shomurodov,UZB,3,Roma,Serie A,26
2471,Shola Shoretire,ENG,3,Manchester Utd,Premier League,18
2472,Mahame Siby,MLI,2,Strasbourg,Ligue 1,25
2473,Aboubakar Sidibé,FRA,3,Clermont Foot,Ligue 1,26
2474,Alassane Sidibe,CIV,3,Atalanta,Serie A,19
2475,Djibril Sidibé,FRA,1,Monaco,Ligue 1,29
2476,Kaj Sierhuis,NED,3,Reims,Ligue 1,24
2477,Francisco Sierralta,CHI,1,Watford,Premier League,25
2478,Arnór Sigur?sson,ISL,2,Venezia,Serie A,23
2479,Kiliann Sildillia,FRA,1,Freiburg,Bundesliga,20
2480,Adrien Silva,POR,2,Sampdoria,Serie A,33
2481,André Silva,POR,3,RB Leipzig,Bundesliga,26
2482,Bernardo Silva,POR,2,Manchester City,Premier League,27
2483,Caio Henrique Oliveira Silva,BRA,1,Monaco,Ligue 1,24
2484,David Silva,ESP,2,Real Sociedad,La Liga,36
2485,Fábio Silva,POR,3,Wolves,Premier League,19
2486,Gabriel Silva,BRA,1,Saint-Étienne,Ligue 1,31
2487,Jonathan Silva,ARG,1,Getafe,La Liga,27
2488,Rui Silva,POR,4,Betis,La Liga,28
2489,Thiago Silva,BRA,1,Chelsea,Premier League,37
2490,Marco Silvestri,ITA,4,Udinese,Serie A,31
2491,Mohamed Simakan,FRA,1,RB Leipzig,Bundesliga,22
2492,Giovanni Simeone,ARG,3,Hellas Verona,Serie A,26
2493,Giovanni Simeone,ARG,3,Cagliari,Serie A,26
2494,Giuliano Simeone,ARG,1,Atlético Madrid,La Liga,19
2495,Ellis Simms,ENG,3,Everton,Premier League,21
2496,Moses Simon,NGA,3,Nantes,Ligue 1,26
2497,Unai Simón,ESP,4,Athletic Club,La Liga,24
2498,Xavi Simons,NED,3,Paris S-G,Ligue 1,19
2499,Wilfried Singo,CIV,1,Torino,Serie A,21
2500,Daley Sinkgraven,NED,1,Leverkusen,Bundesliga,26
2501,Tobias Sippel,GER,4,M'Gladbach,Bundesliga,34
2502,Hugo Siquet,BEL,1,Freiburg,Bundesliga,19
2503,Salvatore Sirigu,ITA,4,Genoa,Serie A,35
2504,Issouf Sissokho,MLI,2,Bordeaux,Ligue 1,20
2505,Ibrahima Sissoko,FRA,2,Strasbourg,Ligue 1,24
2506,Moussa Sissoko,FRA,2,Watford,Premier League,32
2507,Nelson Sissoko,FRA,1,Saint-Étienne,Ligue 1,25
2508,Sambou Sissoko,FRA,2,Reims,Ligue 1,23
2509,Antonio Sivera,ESP,4,Alavés,La Liga,25
2510,Ellyes Skhiri,TUN,2,Köln,Bundesliga,27
2511,Oliver Skipp,ENG,2,Tottenham,Premier League,21
2512,Leo Skiri Østigård,NOR,1,Genoa,Serie A,22
2513,?ukasz Skorupski,POL,4,Bologna,Serie A,31
2514,Andreas Skov Olsen,DEN,1,Bologna,Serie A,22
2515,Robert Skov,DEN,1,Hoffenheim,Bundesliga,26
2516,Milan kriniar,SVK,1,Inter,Serie A,27
2517,Islam Slimani,ALG,3,Lyon,Ligue 1,33
2518,William Smallbone,IRL,2,Southampton,Premier League,22
2519,Chris Smalling,ENG,1,Roma,Serie A,32
2520,Emile Smith Rowe,ENG,2,Arsenal,Premier League,21
2521,Cédric Soares,POR,1,Arsenal,Premier League,30
2522,Danilo Soares,BRA,1,Bochum,Bundesliga,30
2523,Rubén Sobrino,ESP,3,Cádiz,La Liga,29
2524,Rubén Sobrino,ESP,2,Valencia,La Liga,29
2525,Alex Sola,ESP,1,Real Sociedad,La Liga,22
2526,Augusto Solari,ARG,2,Celta Vigo,La Liga,30
2527,Roberto Soldado,ESP,3,Levante,La Liga,37
2528,Carlos Soler,ESP,2,Valencia,La Liga,25
2529,Yann Sommer,SUI,4,M'Gladbach,Bundesliga,33
2530,Son,ESP,1,Levante,La Liga,28
2531,Brandon Soppy,FRA,1,Udinese,Serie A,20
2532,David Soria,ESP,4,Getafe,La Liga,29
2533,Roberto Soriano,ITA,2,Bologna,Serie A,31
2534,Alberto Soro,ESP,2,Granada,La Liga,23
2535,Borna Sosa,CRO,1,Stuttgart,Bundesliga,24
2536,Hugo Sotelo,ESP,2,Celta Vigo,La Liga,18
2537,Florian Sotoca,FRA,3,Lens,Ligue 1,31
2538,Riccardo Sottil,ITA,3,Fiorentina,Serie A,22
2539,Tomá Sou?ek,CZE,2,West Ham,Premier League,27
2540,Matìas Soulé,ARG,3,Juventus,Serie A,19
2541,Sambou Soumano,SEN,3,Lorient,Ligue 1,21
2542,Adama Soumaoro,FRA,1,Bologna,Serie A,29
2543,Boubakary Soumaré,FRA,2,Leicester City,Premier League,23
2544,Arnaud Souquet,FRA,1,Montpellier,Ligue 1,30
2545,Djibril Sow,SUI,2,Eint Frankfurt,Bundesliga,25
2546,Saidou Sow,GUI,1,Saint-Étienne,Ligue 1,19
2547,Çaðlar Söyüncü,TUR,1,Leicester City,Premier League,26
2548,Leonardo Spinazzola,ITA,1,Roma,Serie A,29
2549,Marco Sportiello,ITA,4,Atalanta,Serie A,30
2550,Tony Springett,ENG,3,Norwich City,Premier League,19
2551,Jerry St. Juste,NED,1,Mainz 05,Bundesliga,25
2552,Anton Stach,GER,2,Mainz 05,Bundesliga,23
2553,Kostas Stafylidis,GRE,1,Bochum,Bundesliga,28
2554,Luca Stanga,ITA,1,Milan,Serie A,20
2555,Josip Stanii?,CRO,1,Bayern Munich,Bundesliga,22
2556,Niklas Stark,GER,1,Hertha BSC,Bundesliga,27
2557,Jason Steele,ENG,4,Brighton,Premier League,31
2558,Jed Steer,ENG,4,Aston Villa,Premier League,29
2559,Renato Steffen,SUI,3,Wolfsburg,Bundesliga,30
2560,Zack Steffen,USA,4,Manchester City,Premier League,27
2561,Calvin Stengs,NED,2,Nice,Ligue 1,23
2562,Pascal Stenzel,GER,1,Stuttgart,Bundesliga,26
2563,Dale Stephens,ENG,2,Burnley,Premier League,32
2564,Jack Stephens,ENG,1,Southampton,Premier League,28
2565,Raheem Sterling,ENG,3,Manchester City,Premier League,27
2566,Finley Stevens,WAL,1,Brentford,Premier League,19
2567,Angelo Stiller,GER,2,Hoffenheim,Bundesliga,21
2568,Lars Stindl,GER,2,M'Gladbach,Bundesliga,33
2569,Riccardo Stivanello,ITA,1,Bologna,Serie A,18
2570,Kevin Stöger,AUT,2,Mainz 05,Bundesliga,28
2571,Petar Stojanovi?,SVN,1,Empoli,Serie A,26
2572,John Stones,ENG,1,Manchester City,Premier League,28
2573,Thomas Strakosha,ALB,4,Lazio,Serie A,27
2574,Stefan Strandberg,NOR,1,Salernitana,Serie A,31
2575,Dávid Strelec,SVK,3,Spezia,Serie A,21
2576,Tobias Strobl,GER,2,Augsburg,Bundesliga,32
2577,Kevin Strootman,NED,2,Cagliari,Serie A,32
2578,Pascal Struijk,NED,1,Leeds United,Premier League,22
2579,Jens Stryger Larsen,DEN,1,Udinese,Serie A,31
2580,Leo tulac,SVN,2,Empoli,Serie A,27
2581,Stefano Sturaro,ITA,2,Genoa,Serie A,29
2582,Damián Suárez,URU,1,Getafe,La Liga,34
2583,Denis Suárez,ESP,2,Celta Vigo,La Liga,28
2584,Luis Suárez,URU,3,Atlético Madrid,La Liga,35
2585,Mario Suárez,ESP,1,Rayo Vallecano,La Liga,35
2586,Isaac Success,NGA,3,Udinese,Serie A,26
2587,Niklas Süle,GER,1,Bayern Munich,Bundesliga,26
2588,Kamaldeen Sulemana,GHA,2,Rennes,Ligue 1,20
2589,Crysencio Summerville,NED,2,Leeds United,Premier League,20
2590,Vladyslav Supriaha,UKR,3,Sampdoria,Serie A,22
2591,Suso,ESP,3,Sevilla,La Liga,28
2592,Bosko Sutalo,CRO,1,Hellas Verona,Serie A,22
2593,Mattias Svanberg,SWE,2,Bologna,Serie A,23
2594,Michael Svoboda,AUT,1,Venezia,Serie A,23
2595,Abdoulaye Sylla,GUI,1,Nantes,Ligue 1,22
2596,Mamadou Sylla,SEN,3,Alavés,La Liga,28
2597,Mamadou Sylla,SEN,3,Rayo Vallecano,La Liga,28
2598,Ádám Szalai,HUN,3,Mainz 05,Bundesliga,34
2599,Wojciech Szcz?sny,POL,4,Juventus,Serie A,32
2600,Dominik Szoboszlai,HUN,2,RB Leipzig,Bundesliga,21
2601,Jakob Sørensen,DEN,2,Norwich City,Premier League,24
2602,Alexander Sørloth,NOR,3,Real Sociedad,La Liga,26
2603,Tachi,ESP,1,Alavés,La Liga,24
2604,Jonathan Tah,GER,1,Leverkusen,Bundesliga,26
2605,Waniss Taibi,FRA,2,Angers,Ligue 1,20
2606,Flavien Tait,FRA,2,Rennes,Ligue 1,29
2607,Adrien Tameze,CMR,2,Hellas Verona,Serie A,28
2608,Japhet Tanganga,ENG,1,Tottenham,Premier League,23
2609,Renato Tapia,PER,2,Celta Vigo,La Liga,26
2610,Edmond Tapsoba,BFA,1,Leverkusen,Bundesliga,23
2611,Florian Tardieu,FRA,2,Troyes,Ligue 1,30
2612,Matt Targett,ENG,1,Aston Villa,Premier League,26
2613,Matt Targett,ENG,1,Newcastle Utd,Premier League,26
2614,Oussama Targhalline,MAR,3,Marseille,Ligue 1,20
2615,James Tarkowski,ENG,1,Burnley,Premier League,29
2616,Ciprian T?t?ru?anu,ROU,4,Milan,Serie A,36
2617,Niklas Tauer,GER,1,Mainz 05,Bundesliga,21
2618,Nuno Tavares,POR,1,Arsenal,Premier League,22
2619,Charlie Taylor,ENG,1,Burnley,Premier League,28
2620,Loum Tchaouna,FRA,3,Rennes,Ligue 1,18
2621,Warren Tchimbembé,CGO,2,Metz,Ligue 1,24
2622,Aurélien Tchouaméni,FRA,2,Monaco,Ligue 1,22
2623,Mathys Tel,FRA,3,Rennes,Ligue 1,17
2624,Jordan Tell,FRA,3,Clermont Foot,Ligue 1,24
2625,Nathan Tella,ENG,2,Southampton,Premier League,22
2626,Alex Telles,BRA,1,Manchester Utd,Premier League,29
2627,Cristian Tello,ESP,3,Betis,La Liga,30
2628,Nahuel Tenaglia,ARG,1,Alavés,La Liga,26
2629,Marc Tenas,ESP,3,Alavés,La Liga,20
2630,Marc-André ter Stegen,GER,4,Barcelona,La Liga,30
2631,Filippo Terracciano,ITA,1,Hellas Verona,Serie A,19
2632,Pietro Terracciano,ITA,4,Fiorentina,Serie A,32
2633,Martin Terrier,FRA,3,Rennes,Ligue 1,25
2634,Aleksa Terzi?,SRB,1,Fiorentina,Serie A,22
2635,Robert Tesche,GER,2,Bochum,Bundesliga,35
2636,Tanner Tessmann,USA,2,Venezia,Serie A,20
2637,Tetê,BRA,3,Lyon,Ligue 1,22
2638,Cedric Teuchert,GER,2,Union Berlin,Bundesliga,25
2639,Arthur Theate,BEL,1,Bologna,Serie A,22
2640,Jan Thielmann,GER,2,Köln,Bundesliga,20
2641,Sada Thioub,SEN,1,Saint-Étienne,Ligue 1,26
2642,Sada Thioub,SEN,2,Angers,Ligue 1,26
2643,Luke Thomas,ENG,1,Leicester City,Premier League,20
2644,Romain Thomas,FRA,1,Angers,Ligue 1,33
2645,Adrien Thomasson,FRA,2,Strasbourg,Ligue 1,28
2646,Erik Thommy,GER,1,Stuttgart,Bundesliga,27
2647,Dominic Thompson,ENG,1,Brentford,Premier League,21
2648,Morten Thorsby,NOR,2,Sampdoria,Serie A,26
2649,Thuler,BRA,1,Montpellier,Ligue 1,23
2650,Marcus Thuram,FRA,3,M'Gladbach,Bundesliga,24
2651,Khéphren Thuram-Ulie,FRA,2,Nice,Ligue 1,21
2652,Alexis Tibidi,FRA,3,Stuttgart,Bundesliga,18
2653,Cheikh Tidiane Sabaly,SEN,3,Metz,Ligue 1,23
2654,Youri Tielemans,BEL,2,Leicester City,Premier League,25
2655,Kieran Tierney,SCO,1,Arsenal,Premier League,24
2656,Steffen Tigges,GER,3,Dortmund,Bundesliga,23
2657,Malik Tillman,GER,3,Bayern Munich,Bundesliga,20
2658,Timothy Tillman,GER,2,Greuther Fürth,Bundesliga,23
2659,David Timor,ESP,2,Getafe,La Liga,32
2660,Jean-Clair Todibo,FRA,1,Nice,Ligue 1,22
2661,Umut Tohumcu,GER,2,Hoffenheim,Bundesliga,17
2662,Karl Toko Ekambi,CMR,3,Lyon,Ligue 1,29
